Nº chamada;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual
2020-10083668-8;01/04/2020 02:10;AVENIDA BELA VISTA / RUA DOUTOR ALEXANDRINO - LAGOA DA PRATA;-200.373.701;-455.268.093;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);107 CIA PM/7 BPM/7 RPM;;Não;Não;Não;W04000-NADA CONSTATADO;Classificada;01/04/2020 02:13
2020-10084523-0;01/04/2020 07:21;RUA NOSSA SENHORA DA ABADIA, Nº 745 - PALMEIRAS - FORMIGA;-204.576.516;-454.501.485;A19000 - REUNIAO COMUNITARIA / ENTIDADES DIVERSAS (C) (Prioridade: 3 - Baixa);63 BPM/7 RPM;TENCELGOT;Não;Não;Não;RAT;Classificada;01/04/2020 13:13
2020-10084692-8;01/04/2020 07:45;RUA BELO HORIZONTE, Nº 20 - CENTRO - CLAUDIO;-204.424.614;-447.633.433;Y07007 - OPERACAO PROTEJA SEU BAIRRO (C) (Prioridade: 3 - Baixa);139 CIA PM/23 BPM/7 RPM;28884;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;01/04/2020 14:38
2020-10085268-0;01/04/2020 08:57;RUA MATO GROSSO, Nº 1800 - AFONSO PENA - DIVINOPOLIS;-201.317.291;-448.905.678;X01000 - SUPERVISAO (C) (Prioridade: 3 - Baixa);7 RPM;COPOM;Não;Não;Não;RAT;Classificada;01/04/2020 13:38
2020-10085325-2;01/04/2020 09:01;RUA ADOSINA DA SILVA, Nº 28 - CENTRO - SANTO ANTONIO DO MONTE;-200.887.937;-452.919.988;X01000 - SUPERVISAO (C) (Prioridade: 3 - Baixa);23 BPM/7 RPM;20667;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;01/04/2020 14:05
2020-10085420-3;01/04/2020 09:09;ALAMEDA CORONEL FULGENCIO, Nº S/N - VILA MILITAR - BOM DESPACHO;-197.315.017;-452.546.914;X01000 - SUPERVISAO (C) (Prioridade: 3 - Baixa);COPOM/7 BPM/7 RPM;20071;Não;Não;Não;RAT;Classificada;01/04/2020 16:52
2020-10086461-6;01/04/2020 10:59;RUA CONSELHEIRO ANTONIO GUERRA, Nº 249 - SANTA ANGELA - BOM DESPACHO;-197.390.854;-452.559.888;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);COPOM/7 BPM/7 RPM;28735;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;01/04/2020 15:17
2020-10086467-2;01/04/2020 11:01;RUA JADER MOURA, Nº 310 - CENTRO - ABAETE;-191.567.459;-454.451.197;A20001 - VISITA TRANQUILIZADORA A VITIMAS DE CRIMES VIOLENTOS (C) (Prioridade: 1 - Alta);141 CIA PM/7 BPM/7 RPM;25927;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;01/04/2020 15:37
2020-10087174-0;01/04/2020 12:32;PRACA MATRIZ, Nº 530 - CENTRO - BOM DESPACHO;-19.736.206;-452.520.266;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);COPOM/7 BPM/7 RPM;28587;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;01/04/2020 15:10
2020-10088537-7;01/04/2020 14:51;RUA DIAMANTINA, Nº 183 - CENTRO - CLAUDIO;-204.411.651;-447.603.407;Y07007 - OPERACAO PROTEJA SEU BAIRRO (C) (Prioridade: 3 - Baixa);139 CIA PM/23 BPM/7 RPM;28884;Não;Não;Não;RAT;Classificada;01/04/2020 23:56
2020-10089030-0;01/04/2020 15:29;RUA JOAQUIM MACHADO, Nº 48 - CENTRO - ESTRELA DO INDAIA;-195.224.303;-457.865.784;A20001 - VISITA TRANQUILIZADORA A VITIMAS DE CRIMES VIOLENTOS (C) (Prioridade: 1 - Alta);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;01/04/2020 17:03
2020-10089112-3;01/04/2020 15:34;RUA CAMILO MENDONCA, Nº 148 - ZONA 01 - PAINEIRAS;-189.001.411;-455.357.973;A20001 - VISITA TRANQUILIZADORA A VITIMAS DE CRIMES VIOLENTOS (C) (Prioridade: 1 - Alta);141 CIA PM/7 BPM/7 RPM;20718;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;01/04/2020 17:03
