Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Situação Arma;Tipo Arma;Data Fato;Horário Fato;Qtde  Armas de Fogo
2019-000544043-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;E03012;CONSUMADO;POVOADO;PINHEIROS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;FAZENDA VALES DAS ÁGUAS;ITATIAIUCU;-20,18027780;-44,37861110;APREENDIDO;CARABINA / RIFLE;04/01/2019;18:07:29;1
2019-000544043-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;E03012;CONSUMADO;POVOADO;PINHEIROS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;FAZENDA VALES DAS ÁGUAS;ITATIAIUCU;-20,18027780;-44,37861110;APREENDIDO;GARRUCHA;04/01/2019;18:07:29;2
2019-000561630-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;E99000;CONSUMADO;FAZENDA;INVÁLIDO;SAO TIAGO;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;ZONA RURAL;;;PARA DE MINAS;;;APREENDIDO;REVOLVER;04/01/2019;20:19:51;1
2019-000713270-001;POLICIA MILITAR;INVÁLIDO;280 CIA PM/60 BPM/7 RPM;B01121;CONSUMADO;POVOADO;INVÁLIDO;AREIAS BRANCAS/RUA 1;PREENCHIMENTO OPCIONAL;;420;INVÁLIDO;ZONA RURAL;;;NOVA SERRANA;;;APREENDIDO;REVOLVER;05/01/2019;21:29:04;1
2019-000722306-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;E03017;CONSUMADO;RUA;VEREADOR MILTON MILAGRE;;PREENCHIMENTO OPCIONAL;;101;INDUSTRIAL;;;;SAO GONCALO DO PARA;-19,97195830;-44,85897500;APREENDIDO;CARABINA / RIFLE;06/01/2019;01:41:36;1
2019-000722306-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;E03017;CONSUMADO;RUA;VEREADOR MILTON MILAGRE;;PREENCHIMENTO OPCIONAL;;101;INDUSTRIAL;;;;SAO GONCALO DO PARA;-19,97195830;-44,85897500;APREENDIDO;PISTOLA;06/01/2019;01:41:36;1
2019-000722306-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;E03017;CONSUMADO;RUA;VEREADOR MILTON MILAGRE;;PREENCHIMENTO OPCIONAL;;101;INDUSTRIAL;;;;SAO GONCALO DO PARA;-19,97195830;-44,85897500;APREENDIDO;REVOLVER;06/01/2019;01:41:36;3
2019-000846747-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;E03012;CONSUMADO;ALAMEDA;CANARINHOS;;PREENCHIMENTO OPCIONAL;;40;PARQUE DO LAGO;;;;ITATIAIUCU;-20,21321360;-44,43626920;APREENDIDO;PISTOLA;07/01/2019;02:00:00;1
2019-000904768-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;PADRE MANOEL;;PREENCHIMENTO OPCIONAL;;55;CENTRO;;;;CLAUDIO;-20,44342410;-44,76398310;APREENDIDO;GARRUCHA;07/01/2019;09:40:00;1
2019-000972202-001;POLICIA MILITAR;2 PEL/141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;RUA;PREFEITO ALVIMAR AUG DE OLIVEIRA;;PREENCHIMENTO OPCIONAL;;381;CENTRO;;;;ESTRELA DO INDAIA;-19,52335600;-45,77696910;APREENDIDO;REVOLVER;07/01/2019;17:50:00;1
2019-001020403-001;POLICIA MILITAR;INVÁLIDO;139 CIA PM/23 BPM/7 RPM;B01147;CONSUMADO;RUA;INVÁLIDO;JOAO FERREIRA DE OLIVEIRA;PREENCHIMENTO OPCIONAL;;621;INVÁLIDO;QUINTINO;;"""PRÓXIMO AO CAMPO DE FUTEBOL"".";DIVINOPOLIS;;;APREENDIDO;PISTOLA;08/01/2019;00:12:32;1
2019-001232859-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;RUA;BONFIM;;PREENCHIMENTO OPCIONAL;;210;CENTRO;;;;SAO SEBASTIAO DO OESTE;-20,27206560;-45,00199220;APREENDIDO;REVOLVER;09/01/2019;10:40:00;1
2019-001242841-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;E03012;CONSUMADO;RODOVIA;BR 494;BR 494 KM 67;PREENCHIMENTO OPCIONAL;;67.0000;INVÁLIDO;ZONA RURAL MARILANDIA;;FAZENDA ESTIVA;ITAPECERICA;-20,42901280;-44,91117630;APREENDIDO;GARRUCHA;09/01/2019;11:20:00;1
2019-001313231-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;E03014;CONSUMADO;RUA;JOAO FERREIRA DE OLIVEIRA;;PREENCHIMENTO OPCIONAL;;571;QUINTINO;;;;DIVINOPOLIS;-20,15877650;-44,93312880;APREENDIDO;REVOLVER;09/01/2019;19:27:51;1
2019-001322299-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C99000;CONSUMADO;RUA;CAETES;CAETES;PREENCHIMENTO OPCIONAL;;486.000;CENTRO;ALVORADA;;;MOEMA;-19,84325350;-45,41406510;EXTRAVIADO;REVOLVER;09/01/2019;18:52:54;1
2019-001368965-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;7 CIA PM MAMB/BPM MAMB/CPMAMB;E03012;CONSUMADO;RUA;VEREADOR CINTICO;;PREENCHIMENTO OPCIONAL;;30;VISTA ALEGRE;;;DISTRITO DE SANTO ANTÔNIO DOS CAMPOS;DIVINOPOLIS;-20,10262570;-44,96286910;APREENDIDO;ESPINGARDA / ESCOPETA;10/01/2019;07:32:52;1
2019-001502171-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;63 BPM/7 RPM;B01121;CONSUMADO;RUA;CELIO DE OLIVEIRA GUIMARAES;;PREENCHIMENTO OPCIONAL;;154;RECANTO DA PRAIA;;;;FORMIGA;-20,48513090;-45,43785470;APREENDIDO;REVOLVER;10/01/2019;22:05:52;1
2019-001553775-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;7 CIA PM RV/BPMRV/CPRV;I04028;CONSUMADO;RUA;ITAUNA;;PREENCHIMENTO OPCIONAL;;291;ICARAI;;;;DIVINOPOLIS;-20,11319900;-44,85086870;APREENDIDO;ARMAS DE PRESSAO IGUAL OU INFERIOR A 6MM;11/01/2019;09:00:00;1
2019-001663344-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;I04033;CONSUMADO;RUA;SAO GERALDO;;PREENCHIMENTO OPCIONAL;;449;TREVO;;;;POMPEU;-19,22545800;-44,99717030;APREENDIDO;REVOLVER;11/01/2019;20:15:00;1
2019-001683345-001;POLICIA MILITAR;3 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;B01121;CONSUMADO;FAZENDA;BALSAMO;BALSAMO;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;;LUZ;-19,76589630;-45,80665470;OUTROS - SITUACAO DO MATERIAL;REVOLVER;11/01/2019;21:15:00;1
2019-001687603-001;POLICIA MILITAR;3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;POVOADO;RIBEIROS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;CARMO DO CAJURU;-20,26547710;-44,69408310;FURTADO / ROUBADO (NAO RECUPERADO);ESPINGARDA / ESCOPETA;12/01/2019;00:34:23;2
2019-001766632-001;POLICIA MILITAR;INVÁLIDO;68 CIA TM/60 BPM/7 RPM;E03012;CONSUMADO;RUA;INVÁLIDO;JOAO BATISTA NETO;PREENCHIMENTO OPCIONAL;;272;INVÁLIDO;SAO JOSE;;;NOVA SERRANA;;;APREENDIDO;REVOLVER;12/01/2019;17:26:06;1
2019-001842339-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;E03014;CONSUMADO;PRACA;ROSARIO;;PREENCHIMENTO OPCIONAL;;178;CENTRO;;;;SAO SEBASTIAO DO OESTE;-20,27482470;-45,00350720;APREENDIDO;ESPINGARDA / ESCOPETA;13/01/2019;06:30:00;1
2019-001922018-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;E03015;CONSUMADO;RUA;PRESIDENTE TANCREDO NEVES;;PREENCHIMENTO OPCIONAL;;205;VILA COSTINA;;PRAÇA LUIZ MENINO;;PAINS;-20,38798980;-45,80490160;APREENDIDO;ESPINGARDA / ESCOPETA;13/01/2019;18:00:00;1
2019-001953285-001;POLICIA MILITAR;2 GP/3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01155;CONSUMADO;POVOADO;VELHO DO TAIPA;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;ZONA RURAL;;;CONCEICAO DO PARA;;;FURTADO / ROUBADO (NAO RECUPERADO);ESPINGARDA / ESCOPETA;14/01/2019;02:45:00;1
2019-002084611-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;I04033;CONSUMADO;RUA;ITAQUERA;;PREENCHIMENTO OPCIONAL;;465;DA PROVIDENCIA;;;;PARA DE MINAS;-19,86748250;-44,58373890;APREENDIDO;REVOLVER;14/01/2019;19:36:20;1
2019-002202665-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;RUA;JOAO MACHADO;;PREENCHIMENTO OPCIONAL;;2067;NOSSA SENHORA APARECIDA;;;;POMPEU;-19,22748650;-45,00693840;APREENDIDO;ESPINGARDA POLVEIRA;15/01/2019;14:50:00;1
2019-002247854-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;E99000;CONSUMADO;RUA;ESPINOSA;;PREENCHIMENTO OPCIONAL;;2250;JK;;;;BOM DESPACHO;-19,74909360;-45,28819800;APREENDIDO;ESPINGARDA POLVEIRA;15/01/2019;18:45:32;1
2019-002254282-001;POLICIA MILITAR;60 BPM/7 RPM;68 CIA TM/60 BPM/7 RPM;E03012;CONSUMADO;RUA;DIRETORA MARIA DO CARMO;;PREENCHIMENTO OPCIONAL;;61;CENTRO;;;;NOVA SERRANA;-19,87901510;-44,98369040;APREENDIDO;REVOLVER;15/01/2019;19:23:31;1
2019-002283228-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;E03014;CONSUMADO;AVENIDA;AMARAL;;PREENCHIMENTO OPCIONAL;;670;NOVO HORIZONTE;;;;NOVA SERRANA;-19,85695390;-44,99470550;APREENDIDO;REVOLVER;15/01/2019;23:24:38;1
2019-002328973-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;I04033;CONSUMADO;RUA;INVÁLIDO;VICENTE TELES DE FARIA;PREENCHIMENTO OPCIONAL;;1095;INVÁLIDO;JEFERSON BATISTA DE FREITAS;;;NOVA SERRANA;;;APREENDIDO;REVOLVER;16/01/2019;09:50:00;1
2019-002600919-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;I04033;CONSUMADO;AVENIDA;LAGOA VERDE;;PREENCHIMENTO OPCIONAL;;2189;NOVO SÃO VICENTE;;;NÚMERO REAL É 2179;BOM DESPACHO;-19,73723100;-45,28307970;APREENDIDO;REVOLVER;17/01/2019;18:52:53;1
2019-002611122-001;POLICIA MILITAR;INVÁLIDO;19 CIA PM IND/7 RPM;I04033;CONSUMADO;RUA;INVÁLIDO;ABAETE;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;VARZEA;;;PARA DE MINAS;;;APREENDIDO;PISTOLA;17/01/2019;21:49:34;1
2019-002692190-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;VIRGILIO GONCALVES;;PREENCHIMENTO OPCIONAL;;367;GARCIAS;;;;ITAUNA;-20,09092310;-44,60090090;APREENDIDO;ARMAS DE PRESSAO IGUAL OU INFERIOR A 6MM;18/01/2019;11:59:27;1
2019-002817200-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E03015;CONSUMADO;ALAMEDA;IPE AMARELO;;PREENCHIMENTO OPCIONAL;;69;CIDADE JARDIM;;;;LAGOA DA PRATA;-20,03425130;-45,54581960;APREENDIDO;REVOLVER;19/01/2019;03:56:22;1
2019-002832488-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;7 CIA PM RV/BPMRV/CPRV;E03014;CONSUMADO;RODOVIA;MG 420;;PREENCHIMENTO OPCIONAL;;41;BELVEDERE;;;;POMPEU;-19,22832410;-44,97620550;APREENDIDO;REVOLVER;19/01/2019;09:00:00;1
2019-002918898-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;RUA;TENENTE JOSINO;;PREENCHIMENTO OPCIONAL;;415;VOLTA DO BREJO;;CASA;;POMPEU;-19,21591270;-44,98414090;APREENDIDO;ESPINGARDA POLVEIRA;19/01/2019;22:00:00;1
2019-002918898-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;RUA;TENENTE JOSINO;;PREENCHIMENTO OPCIONAL;;415;VOLTA DO BREJO;;CASA;;POMPEU;-19,21591270;-44,98414090;APREENDIDO;GARRUCHA;19/01/2019;22:00:00;1
2019-002950038-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;A03000;CONSUMADO;RUA;OLINTO FONSECA;;PREENCHIMENTO OPCIONAL;;850;CENTRO;;;;PIMENTA;-20,47726770;-45,80044420;APREENDIDO;REVOLVER;20/01/2019;02:00:00;1
2019-003032008-001;POLICIA MILITAR;2 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;RUA;OLAVO ALVES PINTO;;PREENCHIMENTO OPCIONAL;;396;ALTO SAO FRANCISCO;;;;MARTINHO CAMPOS;-19,32354010;-45,23678320;APREENDIDO;PISTOLA;20/01/2019;18:35:00;1
2019-003104195-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;E03012;CONSUMADO;RUA;LEOPOLDINA CORREA;;PREENCHIMENTO OPCIONAL;;256;SANTANENSE;;fundos;;ITAUNA;-20,07165460;-44,60735450;APREENDIDO;REVOLVER;21/01/2019;10:47:03;1
2019-003169933-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;7 CIA PM MAMB/BPM MAMB/CPMAMB;E03012;CONSUMADO;POVOADO;CACHOEIRA PIOS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;CLAUDIO;-20,39036100;-44,81377800;APREENDIDO;ESPINGARDA / ESCOPETA;21/01/2019;16:31:27;1
2019-003275470-001;POLICIA MILITAR;4 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;E03012;CONSUMADO;RUA;DO CRUZEIRO;;PREENCHIMENTO OPCIONAL;;0;CENTRO;;;;MARAVILHAS;-19,51365370;-44,67672800;APREENDIDO;REVOLVER;22/01/2019;09:00:00;1
2019-003373690-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;C01155;CONSUMADO;POVOADO;TRES BARRAS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;SAO SEBASTIAO DO OESTE;-20,25047200;-45,10050930;FURTADO / ROUBADO (NAO RECUPERADO);ESPINGARDA / ESCOPETA;22/01/2019;12:00:00;1
2019-003373690-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;C01155;CONSUMADO;POVOADO;TRES BARRAS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;SAO SEBASTIAO DO OESTE;-20,25047200;-45,10050930;FURTADO / ROUBADO (NAO RECUPERADO);PISTOLA;22/01/2019;12:00:00;1
2019-003472804-001;POLICIA MILITAR;3 PEL/141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10003;CONSUMADO;DISTRITO;FREI ORLANDO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;MORADA NOVA DE MINAS;-18,83817330;-45,22561210;APREENDIDO;ARMAS DE PRESSAO ACIMA DE 6MM;23/01/2019;06:00:00;1
2019-003472804-001;POLICIA MILITAR;3 PEL/141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10003;CONSUMADO;DISTRITO;FREI ORLANDO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;MORADA NOVA DE MINAS;-18,83817330;-45,22561210;APREENDIDO;REVOLVER;23/01/2019;06:00:00;1
2019-003474480-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;INVÁLIDO;PARAGUACU;PREENCHIMENTO OPCIONAL;;1025;INVÁLIDO;CONCESSO ELIAS;;;NOVA SERRANA;;;APREENDIDO;GARRUCHA;23/01/2019;13:23:49;1
2019-003531899-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;I04033;CONSUMADO;RUA;LAMENTACOES;;PREENCHIMENTO OPCIONAL;;30;SANTOS DUMONT;;;;PARA DE MINAS;-19,84306620;-44,59006630;APREENDIDO;ESPINGARDA POLVEIRA;23/01/2019;17:55:22;1
2019-003667516-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;I04033;CONSUMADO;RUA;DEPUTADO JAIME MARTINS;;PREENCHIMENTO OPCIONAL;;82;SAO JOAO DE DEUS;;;;DIVINOPOLIS;-20,13866180;-44,87074700;APREENDIDO;REVOLVER;24/01/2019;15:19:50;1
2019-003693605-001;POLICIA MILITAR;3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;E03014;CONSUMADO;ALAMEDA;DOS IPES;;PREENCHIMENTO OPCIONAL;;707;VITORIA;;;;CARMO DO CAJURU;-20,19985320;-44,75033520;APREENDIDO;ESPINGARDA POLVEIRA;24/01/2019;17:23:20;3
2019-003710764-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03014;CONSUMADO;RUA;INACIO DIOGO;;PREENCHIMENTO OPCIONAL;;493;DOS CRISTOS;;;;POMPEU;-19,22015430;-45,01057590;APREENDIDO;REVOLVER;24/01/2019;18:35:00;1
2019-003813294-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03013;CONSUMADO;SITIO;ENGENHEIRO BICALHO;ANA MARIA;PREENCHIMENTO OPCIONAL;;161.000;CENTRO;ZONA RURAL;;;POMPEU;-19,21782790;-45,00359970;APREENDIDO;GARRUCHA;25/01/2019;10:35:00;1
2019-003869640-001;POLICIA MILITAR;60 BPM/7 RPM;7 CIA PM IND PE/7 RPM;E03012;CONSUMADO;RUA;SANTA GENOVEVA;;PREENCHIMENTO OPCIONAL;;910;CONCESSO ELIAS;;;;NOVA SERRANA;-19,85904360;-44,98915730;APREENDIDO;PISTOLA;25/01/2019;17:52:29;1
2019-004048130-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;C01157;CONSUMADO;RUA;CALIFORNIA;;PREENCHIMENTO OPCIONAL;;321;DISTRITO DE MARILANDIA;;;;ITAPECERICA;-20,35762500;-44,93324570;APREENDIDO;REVOLVER;26/01/2019;18:30:00;1
2019-004049106-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;E03014;CONSUMADO;AVENIDA;BAHIA;;PREENCHIMENTO OPCIONAL;;3200;PLANALTO;;;;NOVA SERRANA;-19,86315090;-44,97600900;APREENDIDO;REVOLVER;26/01/2019;23:09:43;1
