UF;MUNICÍPIO;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFAFORMA;CICLOMOTOR;MICRO-ÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;ANO
AC;ACRELANDIA;428;77;0;33;3;7;52;0;0;0;223;21;7;0;2;3;0;0;0;0;0;0;2003
AC;ASSIS BRASIL;95;26;0;8;0;1;13;0;0;0;34;13;0;0;0;0;0;0;0;0;0;0;2003
AC;BRASILEIA;1154;265;0;68;6;32;97;0;0;0;435;235;3;0;7;6;0;0;0;0;0;0;2003
AC;BUJARI;139;41;0;24;1;4;17;0;0;2;42;3;2;0;1;2;0;0;0;0;0;0;2003
AC;CAPIXABA;109;38;0;7;0;8;13;0;0;1;33;6;2;0;1;0;0;0;0;0;0;0;2003
AC;CRUZEIRO DO SUL;5022;1291;0;209;0;172;499;1;0;16;2176;638;17;0;2;0;0;0;0;0;0;1;2003
AC;EPITACIOLANDIA;672;176;0;51;1;17;58;0;0;0;243;116;5;0;3;2;0;0;0;0;0;0;2003
AC;FEIJO;412;40;0;23;0;23;24;0;0;0;224;78;0;0;0;0;0;0;0;0;0;0;2003
AC;MANCIO LIMA;353;40;0;14;1;9;22;0;0;1;224;39;3;0;0;0;0;0;0;0;0;0;2003
AC;MANOEL URBANO;43;7;0;3;0;2;0;0;0;0;29;2;0;0;0;0;0;0;0;0;0;0;2003
AC;PLACIDO DE CASTRO;454;149;0;31;1;15;57;0;0;1;151;47;1;0;0;1;0;0;0;0;0;0;2003
AC;PORTO ACRE;223;49;0;20;1;8;35;0;0;1;96;10;0;0;1;2;0;0;0;0;0;0;2003
AC;RIO BRANCO;47093;21001;0;2415;173;2369;4786;10;8;77;12022;3023;320;0;612;247;3;2;0;1;0;24;2003
AC;SANTA ROSA;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2003
AC;SENA MADUREIRA;858;202;0;32;0;69;80;0;0;1;308;164;1;0;1;0;0;0;0;0;0;0;2003
AC;SENADOR GUIOMARD;789;268;0;73;4;34;112;0;0;0;208;76;4;0;8;2;0;0;0;0;0;0;2003
AC;TARAUACA;706;52;0;20;0;13;29;0;0;0;379;213;0;0;0;0;0;0;0;0;0;0;2003
AC;XAPURI;440;123;0;14;0;15;34;1;0;0;201;47;0;0;5;0;0;0;0;0;0;0;2003
AL;ARAPIRACA;27836;9159;0;1810;160;792;2570;0;1;271;9462;2980;216;0;226;165;8;4;0;0;3;9;2003
AL;ATALAIA;3868;1903;0;429;15;79;470;1;0;107;595;36;97;0;85;49;0;0;0;0;0;2;2003
AL;CAJUEIRO;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2003
AL;CAMPO GRANDE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2003
AL;CORURIPE;4017;1228;0;319;25;185;276;0;0;51;1204;166;149;0;284;126;0;0;0;0;0;4;2003
AL;DELMIRO GOUVEIA;8135;2792;0;419;36;422;1037;1;0;131;3028;172;25;0;20;52;0;0;0;0;0;0;2003
AL;GIRAU DO PONCIANO;3140;694;0;156;1;69;345;0;0;33;1646;146;41;0;7;1;1;0;0;0;0;0;2003
AL;MACEIO;126334;87360;0;4081;547;5074;8455;52;19;555;14223;912;1355;1;2468;957;19;18;0;2;2;234;2003
AL;MATRIZ DE CAMARAGIBE;5511;2243;0;644;7;152;916;1;0;190;841;48;141;0;284;43;1;0;0;0;0;0;2003
AL;PALMEIRA DOS INDIOS;9430;3555;0;506;11;321;976;0;0;151;3338;360;86;0;98;19;7;1;0;0;0;1;2003
AL;PENEDO;7553;2982;0;472;28;248;555;0;1;77;2422;358;164;0;179;64;2;1;0;0;0;0;2003
AL;PORTO DE PEDRAS;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2003
AL;QUEBRANGULO;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2003
AL;SANTANA DO IPANEMA;8956;2571;0;610;9;268;908;0;0;92;4105;281;52;0;42;15;1;0;0;0;0;2;2003
AL;SAO MIGUEL DOS CAMPOS;6562;2673;0;764;78;214;499;0;0;155;1203;53;216;0;356;347;0;0;0;0;0;4;2003
AL;TRAIPU;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2003
AL;UNIAO DOS PALMARES;5839;2390;0;620;16;124;628;0;0;141;1619;76;107;0;100;14;0;0;0;0;0;4;2003
AL;VICOSA;2168;871;0;202;2;66;212;0;0;33;652;33;30;0;64;1;2;0;0;0;0;0;2003
AM;ALVARAES;12;1;0;0;0;0;1;0;0;0;5;4;1;0;0;0;0;0;0;0;0;0;2003
AM;AMATURA;12;0;0;0;0;0;3;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;2003
AM;ANAMA;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2003
AM;ANORI;37;0;0;1;0;1;1;0;0;0;24;10;0;0;0;0;0;0;0;0;0;0;2003
AM;APUI;168;9;0;15;0;4;13;0;0;0;68;58;1;0;0;0;0;0;0;0;0;0;2003
AM;ATALAIA DO NORTE;9;0;0;1;0;0;1;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;2003
AM;AUTAZES;177;14;0;3;0;3;7;0;1;0;103;45;0;0;0;0;0;0;0;0;1;0;2003
