UF;MUNICÍPIO;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFAFORMA;CICLOMOTOR;MICRO-ÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;ANO
AC;ACRELANDIA;1766;357;0;97;7;127;23;0;0;1;1001;118;16;0;12;5;1;0;0;0;0;1;2008
AC;ASSIS BRASIL;381;77;0;11;0;46;6;0;0;0;196;41;2;0;2;0;0;0;0;0;0;0;2008
AC;BRASILEIA;2766;693;0;127;18;276;40;0;0;0;1065;487;7;0;10;39;0;0;0;0;0;4;2008
AC;BUJARI;511;162;0;59;1;62;11;0;0;3;195;10;2;0;4;1;0;0;0;0;0;1;2008
AC;CAPIXABA;509;148;0;42;0;55;4;0;0;1;203;39;5;0;10;2;0;0;0;0;0;0;2008
AC;CRUZEIRO DO SUL;10413;2331;0;356;5;972;169;1;0;24;4826;1666;27;0;3;3;0;0;0;0;0;30;2008
AC;EPITACIOLANDIA;1819;506;0;95;4;193;35;0;0;1;666;290;8;0;7;11;0;0;0;0;1;2;2008
AC;FEIJO;920;126;0;49;0;122;11;0;0;1;469;140;1;0;1;0;0;0;0;0;0;0;2008
AC;JORDAO;5;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2008
AC;MANCIO LIMA;889;112;0;28;4;84;7;0;0;1;552;90;5;0;0;6;0;0;0;0;0;0;2008
AC;MANOEL URBANO;165;19;0;9;0;27;1;0;0;0;90;18;0;0;1;0;0;0;0;0;0;0;2008
AC;MARECHAL THAUMATURGO;10;0;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;2008
AC;PLACIDO DE CASTRO;1537;431;0;81;1;172;21;0;0;1;660;153;3;0;5;3;3;0;0;0;0;3;2008
AC;PORTO ACRE;991;205;0;70;0;92;26;0;0;3;515;51;21;0;2;4;0;0;0;0;0;2;2008
AC;PORTO WALTER;6;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2008
AC;RIO BRANCO;81274;32831;0;2941;271;8477;1847;11;10;103;27474;5336;375;0;862;419;53;1;0;1;5;257;2008
AC;RODRIGUES ALVES;92;20;0;4;0;12;1;0;0;0;45;9;0;0;0;0;0;0;0;0;0;1;2008
AC;SANTA ROSA;44;5;0;1;0;6;0;0;0;0;28;4;0;0;0;0;0;0;0;0;0;0;2008
AC;SENA MADUREIRA;2174;445;0;65;1;311;26;0;0;2;940;376;2;0;2;0;0;0;0;0;0;4;2008
AC;SENADOR GUIOMARD;2179;665;0;191;7;278;28;0;0;2;806;145;12;0;28;12;1;0;0;0;0;4;2008
AC;TARAUACA;1544;148;0;73;0;123;19;0;0;0;783;393;2;0;0;0;0;0;0;0;1;2;2008
AC;XAPURI;1162;314;0;36;0;110;12;1;0;0;581;96;1;0;6;2;1;0;0;0;0;2;2008
AL;AGUA BRANCA;1151;176;0;32;2;274;26;0;0;26;572;36;2;0;2;3;0;0;0;0;0;0;2008
AL;ANADIA;855;278;0;19;0;44;69;0;0;35;318;63;21;0;7;1;0;0;0;0;0;0;2008
AL;ARAPIRACA;45222;14197;0;2200;237;3276;900;2;1;338;16443;6595;213;0;394;326;10;2;0;0;7;81;2008
AL;ATALAIA;2576;1615;0;170;6;108;108;1;0;44;299;20;74;0;87;40;0;1;0;0;0;3;2008
AL;BARRA DE SANTO ANTONIO;612;391;0;21;0;40;20;0;0;9;100;7;8;0;15;1;0;0;0;0;0;0;2008
AL;BARRA DE SAO MIGUEL;513;287;0;16;0;37;8;0;0;2;121;11;4;0;21;2;0;0;0;0;0;4;2008
