UF;MUNICÍPIO;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFAFORMA;CICLOMOTOR;MICRO-ÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;ANO
AC;ACRELANDIA;1400;274;0;77;6;95;41;0;0;1;786;92;16;0;8;3;1;0;0;0;0;0;2007
AC;ASSIS BRASIL;308;68;0;12;0;20;18;0;0;0;147;41;1;0;1;0;0;0;0;0;0;0;2007
AC;BRASILEIA;2284;592;0;109;15;181;81;0;0;0;841;422;5;0;10;28;0;0;0;0;0;0;2007
AC;BUJARI;393;134;0;47;0;38;19;0;0;3;137;8;2;0;4;1;0;0;0;0;0;0;2007
AC;CAPIXABA;392;120;0;32;0;32;15;0;0;1;155;26;4;0;5;2;0;0;0;0;0;0;2007
AC;CRUZEIRO DO SUL;8866;2062;0;298;2;635;378;1;0;25;4060;1360;24;0;3;0;0;0;0;0;0;18;2007
AC;EPITACIOLANDIA;1521;411;0;88;3;115;77;0;0;1;557;246;8;0;5;10;0;0;0;0;0;0;2007
AC;FEIJO;767;106;0;45;0;74;25;0;0;1;393;122;0;0;0;0;0;0;0;0;0;1;2007
AC;JORDAO;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2007
AC;MANCIO LIMA;713;97;0;26;2;49;26;0;0;1;435;70;4;0;0;2;0;0;0;0;0;1;2007
AC;MANOEL URBANO;120;8;0;6;0;12;5;0;0;0;75;14;0;0;0;0;0;0;0;0;0;0;2007
AC;MARECHAL THAUMATURGO;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2007
AC;PLACIDO DE CASTRO;1201;362;0;66;0;105;40;0;0;1;491;127;1;0;3;2;2;0;0;0;0;1;2007
AC;PORTO ACRE;759;155;0;63;3;64;42;0;0;3;369;36;17;0;1;5;0;0;0;0;0;1;2007
AC;PORTO WALTER;3;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2007
AC;RIO BRANCO;70872;29475;0;2767;224;6369;3086;11;10;94;22470;4654;368;0;791;349;50;1;0;1;4;148;2007
AC;RODRIGUES ALVES;33;10;0;4;0;5;1;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;2007
AC;SANTA ROSA;27;5;0;1;0;2;1;0;0;0;15;3;0;0;0;0;0;0;0;0;0;0;2007
AC;SENA MADUREIRA;1711;379;0;53;1;177;84;0;0;1;692;321;1;0;1;0;0;0;0;0;0;1;2007
AC;SENADOR GUIOMARD;1687;551;0;152;9;184;74;0;0;0;554;120;7;0;21;13;0;0;0;0;0;2;2007
AC;TARAUACA;1289;105;0;54;0;83;24;0;0;0;678;341;2;0;0;0;0;0;0;0;1;1;2007
AC;XAPURI;940;272;0;30;0;73;25;1;0;0;448;84;0;0;6;0;1;0;0;0;0;0;2007
AL;AGUA BRANCA;928;146;0;33;1;203;63;0;0;7;439;30;1;0;3;2;0;0;0;0;0;0;2007
AL;ANADIA;731;235;0;17;0;30;62;0;0;34;278;51;18;0;6;0;0;0;0;0;0;0;2007
AL;ARAPIRACA;40431;13029;0;2136;213;2649;1407;1;1;298;14129;5641;203;0;353;294;10;2;0;0;3;62;2007
AL;ATALAIA;2378;1467;0;187;7;92;127;1;0;40;250;16;72;0;82;34;0;1;0;0;0;2;2007
AL;BARRA DE SANTO ANTONIO;562;384;0;22;0;27;26;0;0;5;68;7;8;0;14;1;0;0;0;0;0;0;2007
AL;BARRA DE SAO MIGUEL;441;273;0;16;0;32;12;0;0;3;71;8;4;0;20;2;0;0;0;0;0;0;2007
AL;BATALHA;856;272;0;65;5;89;18;0;0;10;305;76;2;0;7;5;0;0;0;0;0;2;2007
AL;BELEM;316;107;0;7;0;15;13;0;0;12;146;11;2;0;3;0;0;0;0;0;0;0;2007
AL;BELO MONTE;133;22;0;18;0;11;4;0;0;2;73;3;0;0;0;0;0;0;0;0;0;0;2007
AL;BOCA DA MATA;2147;760;0;189;26;103;54;0;0;55;650;106;71;0;49;80;0;0;0;0;1;3;2007
AL;BRANQUINHA;236;81;0;9;0;19;12;0;0;19;83;1;7;0;2;1;0;0;0;0;0;2;2007
AL;CACIMBINHAS;648;190;0;28;0;46;20;0;0;14;309;28;5;0;8;0;0;0;0;0;0;0;2007
AL;CAJUEIRO;818;318;0;94;0;33;35;0;0;10;230;16;35;0;41;5;0;0;0;0;0;1;2007
AL;CAMPESTRE;133;56;0;3;0;8;24;0;0;20;11;0;6;0;4;1;0;0;0;0;0;0;2007
AL;CAMPO ALEGRE;1185;419;0;115;12;46;44;4;0;90;195;30;101;0;77;51;0;0;0;0;0;1;2007
AL;CAMPO GRANDE;494;87;0;32;0;25;7;0;0;9;310;21;3;0;0;0;0;0;0;0;0;0;2007
AL;CANAPI;702;118;0;16;0;64;11;0;0;15;448;23;6;0;1;0;0;0;0;0;0;0;2007
AL;CAPELA;585;277;0;53;1;27;24;0;0;5;141;14;13;0;21;9;0;0;0;0;0;0;2007
AL;CARNEIROS;264;66;0;20;0;41;12;0;0;1;116;6;0;0;1;0;0;0;0;0;0;1;2007
AL;CHA PRETA;357;100;0;17;0;29;10;0;0;4;189;2;1;0;5;0;0;0;0;0;0;0;2007
AL;COITE DO NOIA;533;75;0;18;0;27;7;0;0;3;343;44;14;0;2;0;0;0;0;0;0;0;2007
AL;COLONIA LEOPOLDINA;387;195;0;33;0;25;24;0;0;14;78;6;10;0;2;0;0;0;0;0;0;0;2007
AL;COQUEIRO SECO;244;139;0;5;0;6;10;0;0;1;75;0;3;0;5;0;0;0;0;0;0;0;2007
AL;CORURIPE;4148;1425;0;267;20;292;101;2;0;32;1283;217;118;0;275;109;0;0;0;0;0;7;2007
AL;CRAIBAS;980;236;0;50;0;105;48;0;0;22;398;102;14;0;4;1;0;0;0;0;0;0;2007
AL;DELMIRO GOUVEIA;7025;2662;0;332;18;654;321;1;0;230;2412;307;24;0;24;36;0;0;0;0;0;4;2007
AL;DOIS RIACHOS;747;180;0;38;0;41;34;0;0;4;404;42;2;0;1;0;1;0;0;0;0;0;2007
AL;ESTRELA DE ALAGOAS;916;258;0;21;0;77;38;0;0;25;445;38;10;0;3;0;0;0;0;0;0;1;2007
AL;FEIRA GRANDE;820;126;0;24;0;49;20;0;0;0;503;83;14;0;0;0;1;0;0;0;0;0;2007
AL;FELIZ DESERTO;175;81;0;3;0;12;6;0;0;6;53;9;2;0;2;0;0;0;0;0;0;1;2007
AL;FLEXEIRAS;327;185;0;20;0;19;15;0;0;12;56;0;17;0;2;1;0;0;0;0;0;0;2007
AL;GIRAU DO PONCIANO;1582;358;0;61;1;128;64;0;0;18;801;117;25;0;6;1;0;0;0;0;0;2;2007
AL;IBATEGUARA;503;203;0;22;0;35;32;0;0;50;146;7;5;0;3;0;0;0;0;0;0;0;2007
AL;IGACI;1273;299;0;46;0;137;60;0;0;32;594;85;15;0;4;0;0;0;0;0;0;1;2007
AL;IGREJA NOVA;1319;245;0;55;0;46;15;1;0;12;806;72;42;0;9;16;0;0;0;0;0;0;2007
AL;INHAPI;1143;183;0;30;7;109;33;0;0;3;708;57;1;0;3;7;0;0;0;0;0;2;2007
AL;JACARE DOS HOMENS;273;102;0;26;0;16;3;0;0;2;108;11;3;0;0;1;0;0;0;0;0;1;2007
AL;JACUIPE;80;28;0;3;0;7;14;0;0;5;17;0;6;0;0;0;0;0;0;0;0;0;2007
AL;JAPARATINGA;337;148;0;13;0;15;37;0;0;10;91;2;3;0;17;1;0;0;0;0;0;0;2007
AL;JARAMATAIA;175;49;0;11;7;15;5;0;0;5;68;3;2;0;1;9;0;0;0;0;0;0;2007
AL;JEQUIA DA PRAIA;255;114;0;5;0;15;9;0;0;10;85;0;10;0;3;0;0;0;0;0;0;4;2007
AL;JOAQUIM GOMES;558;242;0;62;1;46;30;0;0;25;93;5;34;0;18;2;0;0;0;0;0;0;2007
AL;JUNDIA;152;86;0;5;0;5;15;0;0;4;29;0;7;0;1;0;0;0;0;0;0;0;2007
AL;JUNQUEIRO;1457;361;0;109;19;68;45;2;0;20;512;140;60;0;93;23;3;0;0;0;0;2;2007
AL;LAGOA DA CANOA;831;194;0;37;0;47;29;0;0;10;420;76;13;0;3;2;0;0;0;0;0;0;2007
AL;LIMOEIRO DE ANADIA;923;179;0;41;0;107;47;0;0;9;416;101;19;0;3;0;0;0;0;0;0;1;2007
AL;MACEIO;154879;104302;0;4241;620;9588;6459;71;22;652;20901;1530;1283;1;2884;1336;19;12;0;6;6;946;2007
AL;MAJOR ISIDORO;666;205;0;39;3;33;32;0;0;18;272;37;5;0;12;9;0;0;0;0;0;1;2007
AL;MAR VERMELHO;263;63;0;5;0;8;3;0;0;1;163;15;4;0;1;0;0;0;0;0;0;0;2007
AL;MARAGOGI;690;298;0;20;2;35;86;0;0;59;129;34;12;0;11;3;0;0;0;0;0;1;2007
AL;MARAVILHA;528;121;0;25;0;65;16;0;0;9;262;20;4;0;6;0;0;0;0;0;0;0;2007
AL;MARECHAL DEODORO;2700;1527;0;160;7;193;111;1;0;67;392;32;50;0;125;23;0;0;0;0;0;12;2007
AL;MARIBONDO;810;370;0;29;1;48;41;0;0;18;250;27;6;0;17;2;0;0;0;0;0;1;2007
AL;MATA GRANDE;1263;194;0;41;1;193;57;0;0;15;726;30;1;0;2;3;0;0;0;0;0;0;2007
AL;MATRIZ DE CAMARAGIBE;1273;595;0;88;1;81;92;0;0;32;234;10;65;0;65;7;0;1;0;1;0;1;2007
AL;MESSIAS;682;314;0;46;2;40;70;0;0;22;130;3;51;0;2;2;0;0;0;0;0;0;2007
AL;MINADOR DO NEGRAO;429;82;0;20;1;32;12;0;0;6;268;4;2;0;2;0;0;0;0;0;0;0;2007
AL;MONTEIROPOLIS;195;66;0;6;0;27;1;0;0;2;86;5;1;0;1;0;0;0;0;0;0;0;2007
AL;MURICI;954;385;0;94;3;46;30;1;0;23;289;22;39;0;18;4;0;0;0;0;0;0;2007
AL;NOVO LINO;502;257;0;45;0;24;51;0;0;20;75;1;16;0;12;1;0;0;0;0;0;0;2007
AL;OLHO D'AGUA DAS FLORES;1610;492;0;139;2;159;80;0;0;21;616;83;5;0;7;2;0;0;0;0;0;4;2007
