UF;MUNICÍPIO;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFAFORMA;CICLOMOTOR;MICRO-ÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;ANO
AC;ACRELANDIA;673;126;0;48;4;21;63;0;0;0;355;40;9;0;3;3;1;0;0;0;0;0;2004
AC;ASSIS BRASIL;126;32;0;10;0;3;15;0;0;0;46;19;1;0;0;0;0;0;0;0;0;0;2004
AC;BRASILEIA;1348;304;0;83;10;43;104;0;0;0;504;273;3;0;9;15;0;0;0;0;0;0;2004
AC;BUJARI;195;66;0;29;1;8;18;0;0;3;59;6;2;0;2;1;0;0;0;0;0;0;2004
AC;CAPIXABA;148;47;0;12;1;9;18;0;0;1;48;7;2;0;2;1;0;0;0;0;0;0;2004
AC;CRUZEIRO DO SUL;5830;1448;0;238;0;228;524;1;0;19;2577;774;16;0;2;0;0;0;0;0;0;3;2004
AC;EPITACIOLANDIA;864;225;0;71;3;30;75;0;0;0;303;141;7;0;4;5;0;0;0;0;0;0;2004
AC;FEIJO;468;47;0;27;0;26;26;0;0;0;254;88;0;0;0;0;0;0;0;0;0;0;2004
AC;MANCIO LIMA;434;42;0;14;1;14;23;0;0;1;287;48;4;0;0;0;0;0;0;0;0;0;2004
AC;MANOEL URBANO;57;6;0;3;0;5;3;0;0;0;37;3;0;0;0;0;0;0;0;0;0;0;2004
AC;PLACIDO DE CASTRO;580;194;0;38;0;22;61;0;0;1;205;55;1;0;1;1;1;0;0;0;0;0;2004
AC;PORTO ACRE;314;62;0;31;2;13;43;0;0;2;143;14;0;0;1;3;0;0;0;0;0;0;2004
AC;RIO BRANCO;51226;22477;0;2450;173;2967;4637;10;9;78;13750;3362;329;0;675;246;13;2;0;1;2;45;2004
AC;RODRIGUES ALVES;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2004
AC;SANTA ROSA;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004
AC;SENA MADUREIRA;1006;220;0;38;1;82;83;0;0;1;388;191;1;0;1;0;0;0;0;0;0;0;2004
AC;SENADOR GUIOMARD;980;330;0;92;6;57;133;0;0;0;252;90;5;0;9;6;0;0;0;0;0;0;2004
AC;TARAUACA;890;64;0;26;0;24;32;0;0;0;488;254;0;0;1;0;0;0;0;0;0;1;2004
AC;XAPURI;550;158;0;18;0;26;36;1;0;0;254;52;0;0;5;0;0;0;0;0;0;0;2004
AL;ARAPIRACA;31700;10307;0;1919;195;988;2650;0;1;291;10976;3635;225;0;287;198;8;4;0;0;4;12;2004
AL;ATALAIA;4386;2139;0;415;19;118;475;1;0;112;788;54;113;0;101;48;0;0;0;0;0;3;2004
AL;CAJUEIRO;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004
AL;CAMPO GRANDE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004
AL;CORURIPE;4587;1453;0;353;22;216;270;0;0;65;1395;199;178;0;294;133;0;0;0;0;0;9;2004
AL;DELMIRO GOUVEIA;8891;2928;0;442;36;511;1034;1;0;158;3461;216;27;0;26;50;0;0;0;0;0;1;2004
AL;GIRAU DO PONCIANO;3667;800;0;166;0;95;352;0;0;36;1967;190;50;0;8;1;1;0;0;0;0;1;2004
AL;MACEIO;132743;90523;0;4161;601;5965;8253;53;21;673;15844;1023;1437;1;2667;1146;18;18;0;4;3;332;2004
AL;MATRIZ DE CAMARAGIBE;6096;2560;0;625;7;182;909;1;0;203;1033;61;164;0;304;44;1;0;0;0;0;2;2004
AL;PALMEIRA DOS INDIOS;10535;3788;0;513;11;372;941;0;0;171;4038;470;93;0;109;20;7;0;0;0;0;2;2004
AL;PENEDO;8423;3192;0;479;30;290;542;0;0;81;2893;440;190;0;214;66;5;1;0;0;0;0;2004
AL;PORTO DE PEDRAS;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004
AL;QUEBRANGULO;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004
AL;SANTANA DO IPANEMA;9940;2780;0;659;6;332;913;0;0;112;4652;352;64;0;50;14;1;0;0;0;0;5;2004
AL;SAO MIGUEL DOS CAMPOS;7168;2906;0;758;81;244;509;0;0;177;1436;71;230;0;409;343;0;0;0;0;0;4;2004
AL;TRAIPU;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2004
AL;UNIAO DOS PALMARES;6439;2617;0;641;16;173;601;0;0;164;1874;107;121;0;104;16;0;0;0;0;0;5;2004
AL;VICOSA;2413;967;0;210;3;74;199;0;0;32;786;38;35;0;65;1;2;0;0;0;0;1;2004
AM;ALVARAES;25;2;0;0;0;0;1;0;0;0;15;6;1;0;0;0;0;0;0;0;0;0;2004
AM;AMATURA;36;0;0;0;0;0;3;0;0;0;22;11;0;0;0;0;0;0;0;0;0;0;2004
AM;ANAMA;9;2;0;0;0;1;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2004
AM;ANORI;46;1;0;1;0;1;1;0;0;0;31;11;0;0;0;0;0;0;0;0;0;0;2004
AM;APUI;339;8;0;18;0;6;14;0;0;1;155;136;1;0;0;0;0;0;0;0;0;0;2004
AM;ATALAIA DO NORTE;31;0;0;1;0;0;1;0;0;0;16;13;0;0;0;0;0;0;0;0;0;0;2004
AM;AUTAZES;229;16;0;3;0;4;7;0;1;0;139;57;1;0;0;0;0;0;0;0;1;0;2004
AM;BARCELOS;132;9;0;4;0;12;15;0;0;0;45;47;0;0;0;0;0;0;0;0;0;0;2004
AM;BARREIRINHA;67;1;0;0;0;3;3;0;0;0;40;20;0;0;0;0;0;0;0;0;0;0;2004
AM;BENJAMIN CONSTANT;160;4;0;2;0;2;10;0;0;1;61;80;0;0;0;0;0;0;0;0;0;0;2004
AM;BERURI;24;2;0;0;0;0;0;0;0;0;17;5;0;0;0;0;0;0;0;0;0;0;2004
AM;BOA VISTA DO RAMOS;32;1;0;1;0;0;2;0;0;0;17;11;0;0;0;0;0;0;0;0;0;0;2004
AM;BOCA DO ACRE;334;152;0;15;2;8;11;1;0;2;86;52;1;0;1;3;0;0;0;0;0;0;2004
AM;BORBA;215;12;0;2;0;2;12;0;0;0;155;32;0;0;0;0;0;0;0;0;0;0;2004
AM;CAAPIRANGA;12;0;0;4;0;1;2;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;2004
AM;CANUTAMA;7;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2004
AM;CARAUARI;113;7;0;7;0;6;13;0;0;1;69;10;0;0;0;0;0;0;0;0;0;0;2004
AM;CAREIRO;248;25;0;16;0;16;23;0;0;3;120;23;22;0;0;0;0;0;0;0;0;0;2004
AM;CAREIRO DA VARZEA;45;6;0;6;0;0;12;0;0;2;10;5;4;0;0;0;0;0;0;0;0;0;2004
AM;COARI;2155;142;0;32;0;37;69;0;2;1;1310;560;1;0;0;0;0;0;0;0;1;0;2004
AM;CODAJAS;87;6;0;2;0;3;0;0;0;0;67;9;0;0;0;0;0;0;0;0;0;0;2004
AM;EIRUNEPE;77;13;0;9;0;2;8;0;0;0;29;16;0;0;0;0;0;0;0;0;0;0;2004
AM;ENVIRA;22;1;0;4;0;1;7;0;0;0;5;3;1;0;0;0;0;0;0;0;0;0;2004
AM;FONTE BOA;55;3;0;10;0;0;5;0;0;0;31;5;0;0;0;0;0;0;0;0;0;1;2004
AM;GUAJARA;5;1;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2004
AM;HUMAITA;1414;305;0;54;5;22;47;0;0;0;557;412;6;0;0;6;0;0;0;0;0;0;2004
AM;IPIXUNA;4;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004
AM;IRANDUBA;780;213;0;67;6;30;85;0;0;3;274;72;14;0;4;11;0;0;0;0;0;1;2004
AM;ITACOATIARA;6031;1035;0;198;19;113;251;0;3;14;2524;1787;41;0;11;33;0;1;0;0;1;0;2004
AM;ITAMARATI;3;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2004
AM;ITAPIRANGA;42;3;0;1;0;1;4;0;0;0;29;4;0;0;0;0;0;0;0;0;0;0;2004
AM;JAPURA;11;0;0;2;0;0;4;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;2004
AM;JURUA;9;0;0;3;0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2004
AM;JUTAI;26;0;0;1;0;0;1;0;0;0;20;4;0;0;0;0;0;0;0;0;0;0;2004
AM;LABREA;136;8;0;5;0;3;5;0;0;0;89;25;1;0;0;0;0;0;0;0;0;0;2004
AM;MANACAPURU;2661;830;0;114;1;83;268;0;1;6;776;529;40;0;0;9;0;1;0;0;1;2;2004
AM;MANAQUIRI;23;2;0;1;0;2;3;0;0;0;10;5;0;0;0;0;0;0;0;0;0;0;2004
AM;MANAUS;242893;141733;0;9544;1047;15000;23443;63;293;1267;35097;4372;3779;0;1155;5615;6;73;0;36;29;341;2004
AM;MANICORE;153;6;0;5;0;2;5;0;0;1;85;49;0;0;0;0;0;0;0;0;0;0;2004
AM;MARAA;25;0;0;1;0;1;3;0;0;0;15;5;0;0;0;0;0;0;0;0;0;0;2004
AM;MAUES;1267;135;0;20;0;28;62;0;1;0;634;385;2;0;0;0;0;0;0;0;0;0;2004
AM;NHAMUNDA;69;3;0;2;0;1;2;0;0;0;43;18;0;0;0;0;0;0;0;0;0;0;2004
AM;NOVA OLINDA DO NORTE;88;2;0;3;0;1;2;0;1;0;51;25;2;0;1;0;0;0;0;0;0;0;2004
AM;NOVO AIRAO;111;22;0;8;0;2;19;0;0;0;47;11;2;0;0;0;0;0;0;0;0;0;2004
AM;NOVO ARIPUANA;90;4;0;7;0;1;4;0;0;0;43;27;4;0;0;0;0;0;0;0;0;0;2004
AM;PARINTINS;5330;479;0;75;1;53;131;0;1;2;2768;1809;4;0;0;2;0;4;0;0;0;1;2004
AM;PAUINI;13;1;0;4;0;0;3;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;2004
AM;PRESIDENTE FIGUEIREDO;1408;451;0;109;11;87;181;0;1;13;391;114;19;0;5;25;0;0;0;1;0;0;2004
AM;RIO PRETO DA EVA;511;146;0;35;0;23;70;0;0;3;191;29;14;0;0;0;0;0;0;0;0;0;2004
AM;SANTA ISABEL DO RIO NEGRO;31;1;0;5;0;2;6;0;0;2;5;7;3;0;0;0;0;0;0;0;0;0;2004
AM;SANTO ANTONIO DO ICA;71;0;0;4;0;1;5;0;0;0;48;13;0;0;0;0;0;0;0;0;0;0;2004
AM;SAO GABRIEL DA CACHOEIRA;1016;513;0;61;1;43;96;0;0;5;165;126;4;0;1;0;0;1;0;0;0;0;2004
AM;SAO PAULO DE OLIVENCA;84;1;0;1;0;1;6;0;0;0;56;19;0;0;0;0;0;0;0;0;0;0;2004
AM;SAO SEBASTIAO DO UATUMA;34;0;0;1;0;1;0;0;0;0;21;11;0;0;0;0;0;0;0;0;0;0;2004
AM;SILVES;58;0;0;5;0;2;8;0;0;3;35;4;1;0;0;0;0;0;0;0;0;0;2004
AM;TABATINGA;1360;369;0;24;0;17;81;0;1;2;431;431;1;0;1;0;0;1;0;0;0;1;2004
AM;TAPAUA;44;0;0;1;0;0;2;0;0;0;31;9;1;0;0;0;0;0;0;0;0;0;2004
AM;TEFE;2499;316;0;26;0;28;80;0;0;2;1444;600;1;0;1;0;0;0;0;0;0;1;2004
AM;TONANTINS;25;1;0;0;0;1;0;0;0;0;17;6;0;0;0;0;0;0;0;0;0;0;2004
AM;UARINI;11;0;0;0;0;0;1;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;2004
AM;URUCARA;141;1;0;4;0;1;3;0;0;1;88;42;1;0;0;0;0;0;0;0;0;0;2004
AM;URUCURITUBA;39;0;0;3;0;1;10;0;0;0;17;8;0;0;0;0;0;0;0;0;0;0;2004
AP;AMAPA;88;44;0;4;0;9;7;0;0;1;19;4;0;0;0;0;0;0;0;0;0;0;2004
AP;AMAPARI;17;3;0;0;0;11;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2004
AP;CALCOENE;63;15;0;0;0;5;9;0;0;0;32;1;1;0;0;0;0;0;0;0;0;0;2004
AP;CUTIAS;5;1;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2004
AP;FERREIRA GOMES;29;12;0;1;0;3;5;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;2004
AP;ITAUBAL;5;0;0;1;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;2004
AP;LARANJAL DO JARI;628;211;0;30;0;12;32;0;0;5;249;85;4;0;0;0;0;0;0;0;0;0;2004
AP;MACAPA;41910;21187;0;1689;88;3481;3273;14;49;119;9431;1726;389;0;229;178;14;1;0;1;4;37;2004
AP;MAZAGAO;127;71;0;7;0;13;11;0;0;1;16;7;1;0;0;0;0;0;0;0;0;0;2004
AP;OIAPOQUE;548;171;0;33;1;31;52;0;2;1;230;24;1;0;0;2;0;0;0;0;0;0;2004
AP;PORTO GRANDE;206;73;0;14;2;11;31;0;1;0;59;8;4;0;0;3;0;0;0;0;0;0;2004
AP;PRACUUBA;4;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2004
AP;SANTANA;5400;2095;0;364;48;312;694;0;2;19;1245;408;31;0;59;113;8;0;0;0;0;2;2004
AP;SERRA DO NAVIO;47;21;0;0;0;5;15;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;2004
AP;TARTARUGALZINHO;27;9;0;4;0;2;5;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;2004
AP;VITORIA DO JARI;14;9;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;2004
BA;ABAIRA;467;222;0;29;0;26;66;0;0;5;105;4;10;0;0;0;0;0;0;0;0;0;2004
BA;ABARE;269;97;0;16;0;7;33;0;0;2;104;1;9;0;0;0;0;0;0;0;0;0;2004
BA;ACAJUTIBA;564;228;0;25;1;10;27;0;0;5;228;32;5;0;2;1;0;0;0;0;0;0;2004
BA;ADUSTINA;358;59;0;12;0;3;7;0;0;5;248;22;2;0;0;0;0;0;0;0;0;0;2004
BA;AGUA FRIA;248;104;0;8;0;2;30;0;0;5;86;2;8;0;3;0;0;0;0;0;0;0;2004
BA;AIQUARA;103;54;0;5;0;3;17;0;0;1;21;2;0;0;0;0;0;0;0;0;0;0;2004
BA;ALAGOINHAS;15540;8724;0;761;64;462;1110;4;0;95;3133;613;254;0;233;74;1;0;0;0;2;10;2004
BA;ALCOBACA;700;281;0;18;1;43;49;0;0;2;219;68;5;0;14;0;0;0;0;0;0;0;2004
BA;ALMADINA;125;70;0;7;0;10;19;0;0;1;17;0;1;0;0;0;0;0;0;0;0;0;2004
BA;AMARGOSA;2724;1314;0;155;1;113;272;0;0;12;722;94;28;0;12;1;0;0;0;0;0;0;2004
BA;AMELIA RODRIGUES;1378;665;0;116;9;26;192;0;0;26;248;31;14;0;28;23;0;0;0;0;0;0;2004
BA;AMERICA DOURADA;249;128;0;13;0;9;30;0;0;1;62;4;2;0;0;0;0;0;0;0;0;0;2004
BA;ANAGE;512;223;0;38;1;17;51;0;0;18;131;7;22;0;2;2;0;0;0;0;0;0;2004
BA;ANDARAI;188;70;0;13;0;7;23;0;0;2;64;6;3;0;0;0;0;0;0;0;0;0;2004
BA;ANDORINHA;525;226;0;33;0;21;47;0;0;3;174;1;17;0;2;1;0;0;0;0;0;0;2004
BA;ANGICAL;250;84;0;7;0;10;34;0;0;7;93;13;2;0;0;0;0;0;0;0;0;0;2004
BA;ANGUERA;239;89;0;10;0;5;41;0;0;5;71;9;5;0;4;0;0;0;0;0;0;0;2004
BA;ANTAS;428;114;0;21;0;12;33;0;0;3;221;13;4;0;6;0;0;0;0;0;0;1;2004
